hex_id,local_temp_c,elevation_m
125,16.221621621621622,17.0
126,15.710810810810809,61.0
127,15.975675675675676,54.0
128,16.40810810810811,48.0
129,16.048648648648648,63.0
130,15.63783783783784,48.0
131,16.05945945945946,41.0
132,17.01891891891892,9.0
133,17.935135135135134,0.0
134,13.6,1603.0
135,15.786486486486487,1337.0
136,13.283783783783784,1420.0
137,15.118918918918919,1331.0
138,11.505405405405405,1928.0
139,15.313513513513515,984.0
140,15.456756756756755,809.0
141,15.181081081081082,878.0
142,15.04054054054054,807.0
143,16.002702702702702,667.0
144,15.75135135135135,512.0
145,15.77027027027027,396.0
146,16.38108108108108,203.0
147,15.986486486486486,139.0
148,16.313513513513513,111.0
149,15.90810810810811,126.0
150,14.905405405405405,79.0
151,15.52162162162162,32.0
152,14.986486486486486,78.0
153,14.667567567567568,105.0
154,14.975675675675676,105.0
155,15.037837837837838,55.0
156,15.048648648648648,91.0
157,15.02162162162162,77.0
158,14.85135135135135,93.0
159,15.100000000000001,107.0
160,14.74864864864865,55.0
161,14.924324324324326,100.0
162,15.410810810810812,65.0
163,15.881081081081081,32.0
164,16.31081081081081,0.0
165,19.964864864864865,875.0
166,17.113513513513514,1261.0
167,14.370270270270272,1404.0
168,14.162162162162161,1301.0
169,13.35945945945946,1448.0
170,14.486486486486486,1310.0
171,13.691891891891892,1226.0
172,13.308108108108108,1399.0
173,15.086486486486487,1415.0
174,14.356756756756758,1100.0
175,14.194594594594596,974.0
176,13.924324324324326,773.0
177,15.172972972972973,655.0
178,15.843243243243245,564.0
179,15.832432432432432,470.0
180,15.691891891891892,323.0
181,16.42162162162162,187.0
182,16.11891891891892,127.0
183,15.36216216216216,182.0
184,14.997297297297298,112.0
185,14.97837837837838,71.0
186,14.651351351351352,79.0
187,14.421621621621622,46.0
188,14.5,54.0
189,14.454054054054053,124.0
190,13.664864864864866,155.0
191,13.740540540540541,34.0
192,13.878378378378379,41.0
193,13.75945945945946,134.0
194,13.48918918918919,104.0
195,14.116216216216214,89.0
196,14.289189189189191,96.0
197,14.464864864864866,57.0
198,15.389189189189189,11.0
199,20.002702702702702,327.0
200,18.472972972972972,556.0
201,19.072972972972973,802.0
202,12.291891891891892,1916.0
203,14.48108108108108,1277.0
204,12.783783783783784,1326.0
205,12.827027027027027,1573.0
206,12.667567567567568,1333.0
207,12.794594594594594,1224.0
208,12.827027027027027,1549.0
209,13.154054054054054,1102.0
210,13.01081081081081,1152.0
211,12.921621621621622,970.0
212,14.645945945945945,775.0
213,15.05135135135135,573.0
214,15.245945945945946,447.0
215,15.221621621621622,343.0
216,15.216216216216216,243.0
217,15.75945945945946,209.0
218,14.937837837837838,158.0
219,14.535135135135134,122.0
220,15.072972972972973,62.0
221,13.82972972972973,85.0
222,13.972972972972974,41.0
223,13.659459459459459,34.0
224,14.01081081081081,96.0
225,13.14054054054054,157.0
226,13.54864864864865,37.0
227,13.013513513513514,139.0
228,12.881081081081081,121.0
229,12.954054054054055,228.0
230,13.62972972972973,146.0
231,13.3,106.0
232,13.564864864864864,53.0
233,14.054054054054054,50.0
234,14.7,17.0
235,20.17837837837838,83.0
236,19.83243243243243,228.0
237,20.594594594594593,335.0
238,19.62972972972973,628.0
239,18.762162162162163,778.0
240,12.118918918918919,1718.0
241,14.991891891891893,1108.0
242,9.902702702702703,2134.0
243,12.683783783783785,1586.0
244,12.0,1811.0
245,8.856756756756756,2167.0
246,13.159459459459459,1259.0
247,11.913513513513514,1331.0
248,11.85945945945946,1155.0
249,12.378378378378379,991.0
250,13.35945945945946,861.0
251,14.210810810810809,516.0
252,14.610810810810811,337.0
253,14.47027027027027,266.0
254,14.640540540540542,242.0
255,14.313513513513515,181.0
256,14.09189189189189,140.0
257,13.67837837837838,102.0
258,13.664864864864866,96.0
259,13.624324324324325,98.0
260,14.01081081081081,46.0
261,13.899999999999999,39.0
262,12.802702702702703,76.0
263,12.41081081081081,63.0
264,12.313513513513515,139.0
265,12.54054054054054,208.0
266,11.78918918918919,377.0
267,12.17837837837838,221.0
268,12.583783783783785,196.0
269,13.159459459459459,151.0
270,13.55135135135135,71.0
271,13.97837837837838,43.0
272,14.432432432432432,11.0
273,14.445945945945946,0.0
274,16.98108108108108,122.0
275,12.372972972972974,1494.0
276,20.024324324324322,-35.0
277,21.205405405405408,59.0
278,19.79189189189189,352.0
279,19.35135135135135,273.0
280,19.62702702702703,396.0
281,14.675675675675675,1168.0
282,10.543243243243245,1851.0
283,8.213513513513513,2227.0
284,7.748648648648649,2089.0
285,8.445945945945946,2386.0
286,8.956756756756755,2028.0
287,10.854054054054055,1695.0
288,11.575675675675676,1185.0
289,10.632432432432433,1242.0
290,10.64054054054054,1149.0
291,10.983783783783784,1009.0
292,13.13783783783784,613.0
293,13.627027027027026,428.0
294,13.232432432432432,339.0
295,13.532432432432433,318.0
296,13.208108108108108,331.0
297,13.294594594594594,293.0
298,11.57027027027027,541.0
299,12.81891891891892,335.0
300,12.575675675675676,167.0
301,13.313513513513515,64.0
302,12.824324324324325,46.0
303,12.21891891891892,70.0
